election_round,election_label,election_date,province,municipality,municipality_key,electorate,votes,invalid_votes,abstentions,turnout_rate
6,제6회 전국동시지방선거,2014-06-04,서울특별시,동작구,서울특별시 동작구,347506,214255,1941,133251,61.66
6,제6회 전국동시지방선거,2014-06-04,서울특별시,마포구,서울특별시 마포구,320827,195289,1768,125538,60.87
6,제6회 전국동시지방선거,2014-06-04,서울특별시,서대문구,서울특별시 서대문구,266442,159840,1636,106602,59.99
6,제6회 전국동시지방선거,2014-06-04,서울특별시,서초구,서울특별시 서초구,358576,220442,1411,138134,61.48
6,제6회 전국동시지방선거,2014-06-04,서울특별시,성동구,서울특별시 성동구,252308,146873,1591,105435,58.21
6,제6회 전국동시지방선거,2014-06-04,서울특별시,성북구,서울특별시 성북구,394293,229201,2354,165092,58.13
6,제6회 전국동시지방선거,2014-06-04,서울특별시,송파구,서울특별시 송파구,547101,329721,2291,217380,60.27
6,제6회 전국동시지방선거,2014-06-04,서울특별시,양천구,서울특별시 양천구,392385,236667,2112,155718,60.31
6,제6회 전국동시지방선거,2014-06-04,서울특별시,영등포구,서울특별시 영등포구,329266,194093,1721,135173,58.95
6,제6회 전국동시지방선거,2014-06-04,서울특별시,용산구,서울특별시 용산구,204529,118198,1085,86331,57.79
6,제6회 전국동시지방선거,2014-06-04,서울특별시,은평구,서울특별시 은평구,414920,233896,2177,181024,56.37
6,제6회 전국동시지방선거,2014-06-04,서울특별시,종로구,서울특별시 종로구,136925,81113,926,55812,59.24
6,제6회 전국동시지방선거,2014-06-04,서울특별시,중구,서울특별시 중구,113235,65393,905,47842,57.75
6,제6회 전국동시지방선거,2014-06-04,서울특별시,중랑구,서울특별시 중랑구,351965,189523,2082,162442,53.85
6,제6회 전국동시지방선거,2014-06-04,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,101559,63629,975,37930,62.65
6,제6회 전국동시지방선거,2014-06-04,울산광역시,남구,울산광역시 남구,277480,151643,11532,125837,54.65
6,제6회 전국동시지방선거,2014-06-04,울산광역시,동구,울산광역시 동구,141266,81696,8130,59570,57.83
6,제6회 전국동시지방선거,2014-06-04,울산광역시,북구,울산광역시 북구,139347,79777,6346,59570,57.25
6,제6회 전국동시지방선거,2014-06-04,울산광역시,울주군,울산광역시 울주군,165014,92066,8974,72948,55.79
6,제6회 전국동시지방선거,2014-06-04,울산광역시,중구,울산광역시 중구,189218,106699,8745,82519,56.39
6,제6회 전국동시지방선거,2014-06-04,인천광역시,강화군,인천광역시 강화군,58089,38611,1180,19478,66.47
6,제6회 전국동시지방선거,2014-06-04,인천광역시,계양구,인천광역시 계양구,274659,143387,1207,131272,52.21
6,제6회 전국동시지방선거,2014-06-04,인천광역시,남구,인천광역시 남구,340427,174258,1930,166169,51.19
6,제6회 전국동시지방선거,2014-06-04,인천광역시,남동구,인천광역시 남동구,405404,215359,1930,190045,53.12
6,제6회 전국동시지방선거,2014-06-04,인천광역시,동구,인천광역시 동구,61693,36534,645,25159,59.22
6,제6회 전국동시지방선거,2014-06-04,인천광역시,부평구,인천광역시 부평구,451971,237759,2207,214212,52.6
6,제6회 전국동시지방선거,2014-06-04,인천광역시,서구,인천광역시 서구,380611,199733,1769,180878,52.48
6,제6회 전국동시지방선거,2014-06-04,인천광역시,연수구,인천광역시 연수구,238453,136706,1221,101747,57.33
6,제6회 전국동시지방선거,2014-06-04,인천광역시,옹진군,인천광역시 옹진군,18124,13590,522,4534,74.98
6,제6회 전국동시지방선거,2014-06-04,인천광역시,중구,인천광역시 중구,89767,48565,608,41202,54.1
6,제6회 전국동시지방선거,2014-06-04,전라남도,강진군,전라남도 강진군,33613,24567,1386,9046,73.09
6,제6회 전국동시지방선거,2014-06-04,전라남도,고흥군,전라남도 고흥군,61803,47246,3820,14557,76.45
6,제6회 전국동시지방선거,2014-06-04,전라남도,곡성군,전라남도 곡성군,26872,20627,1319,6245,76.76
6,제6회 전국동시지방선거,2014-06-04,전라남도,광양시,전라남도 광양시,115763,73537,2394,42226,63.52
